,TPR,FPR,TPR_clear,FPR_clear
52,0.9151042,0.16414227,0.83585775,0.08489577
53,0.9147793,0.16351113,0.8364889,0.0852207
54,0.914556,0.16289009,0.8371099,0.085443996
55,0.91424495,0.16232218,0.83767784,0.08575507
56,0.9139708,0.16171506,0.8382849,0.08602919
57,0.9137152,0.16117498,0.83882505,0.08628482
58,0.9134349,0.16057545,0.83942455,0.0865651
59,0.9131993,0.16003662,0.8399634,0.08680072
60,0.91290206,0.15951425,0.84048575,0.087097935
61,0.9125833,0.15896279,0.8410372,0.08741671
62,0.9123076,0.15844926,0.8415507,0.087692365
63,0.9120905,0.15803567,0.84196436,0.0879095
64,0.91181487,0.15753353,0.8424665,0.088185154
65,0.9115608,0.1570023,0.8429977,0.08843925
66,0.91130817,0.15647486,0.8435251,0.08869181
67,0.9111018,0.15595755,0.8440425,0.08889816
68,0.91086465,0.15552877,0.8444712,0.08913532
69,0.9105875,0.15509114,0.84490883,0.08941252
70,0.9102872,0.15463454,0.84536546,0.08971281
71,0.9100931,0.15417413,0.84582585,0.08990685
72,0.90988374,0.15373397,0.84626603,0.090116285
73,0.9096804,0.15325333,0.8467467,0.09031956
74,0.90943253,0.15280938,0.8471906,0.0905675
75,0.9091461,0.15230598,0.84769404,0.09085393
76,0.90890276,0.15183799,0.848162,0.09109725
77,0.908604,0.1513877,0.8486123,0.091396004
78,0.9083653,0.15092857,0.84907144,0.0916347
79,0.9081651,0.15045805,0.84954196,0.091834895
80,0.907931,0.15009253,0.84990746,0.09206897
81,0.9077139,0.14976746,0.85023254,0.09228611
82,0.9075121,0.14933616,0.85066384,0.09248785
83,0.90727806,0.14891623,0.85108376,0.092721924
84,0.9070779,0.14845203,0.85154796,0.09292212
85,0.9068423,0.14804097,0.85195905,0.09315774
86,0.90657896,0.14763622,0.85236377,0.09342107
87,0.9063957,0.14725678,0.8527432,0.093604326
88,0.90619546,0.14687859,0.8531214,0.09380452
89,0.9059691,0.14643337,0.85356665,0.0940309
90,0.90575963,0.14605771,0.8539423,0.09424034
91,0.90555483,0.14565802,0.854342,0.094445154
92,0.9053331,0.14534435,0.8546557,0.09466691
93,0.9051498,0.14496869,0.8550313,0.09485017
94,0.9049389,0.14462592,0.8553741,0.095061146
95,0.90474325,0.14432868,0.8556713,0.09525672
96,0.9045646,0.14402387,0.85597616,0.09543536
97,0.9043999,0.1436773,0.8563227,0.095600136
98,0.90419656,0.1434003,0.8565997,0.09580341
99,0.9040549,0.1431195,0.8568805,0.09594509
100,0.9040549,0.1431195,0.8568805,0.09594509
101,0.90276134,0.14081877,0.8591812,0.09723867
102,0.9014308,0.13877355,0.86122644,0.09856921
103,0.90020806,0.13681306,0.86318696,0.09979195
104,0.89905614,0.1349841,0.86501586,0.10094385
105,0.8979181,0.13317287,0.86682713,0.102081895
106,0.89683086,0.13164622,0.8683538,0.10316911
107,0.89576674,0.12991719,0.8700828,0.104233235
108,0.8947658,0.12858279,0.8714172,0.10523422
109,0.89381254,0.12718263,0.8728174,0.10618747
110,0.8928331,0.12591653,0.87408346,0.107166894
111,0.89192605,0.12459351,0.8754065,0.108073935
112,0.8912069,0.12327303,0.876727,0.1087931
113,0.8903661,0.12198037,0.87801963,0.10963393
114,0.88944054,0.12078384,0.87921613,0.110559456
115,0.88866746,0.11968597,0.88031405,0.11133253
116,0.887993,0.118536234,0.88146377,0.11200704
117,0.88717675,0.11754461,0.8824554,0.11282322
118,0.88631904,0.116522625,0.8834774,0.11368099
119,0.88558906,0.115646094,0.8843539,0.11441094
120,0.8847282,0.11466585,0.88533413,0.115271784
121,0.88392437,0.11370837,0.8862916,0.11607565
122,0.8832252,0.11276607,0.8872339,0.1167748
123,0.8824999,0.11190852,0.8880915,0.11750013
124,0.8818654,0.11107499,0.888925,0.118134595
125,0.8812648,0.11021238,0.8897876,0.11873519
126,0.8804563,0.10940795,0.89059204,0.11954367
127,0.8797033,0.10868446,0.8913155,0.120296724
128,0.8790642,0.10788256,0.89211744,0.12093581
129,0.8784436,0.107188165,0.89281183,0.12155642
130,0.87778294,0.106405236,0.89359474,0.122217074
131,0.8770792,0.105627365,0.89437264,0.12292084
132,0.87649703,0.10492538,0.8950746,0.123502955
133,0.8759257,0.10419557,0.8958044,0.12407428
134,0.875242,0.103597306,0.8964027,0.124758035
135,0.8746291,0.10294845,0.8970516,0.12537093
136,0.8739207,0.102276824,0.8977232,0.12607934
137,0.8732616,0.10164947,0.89835054,0.12673844
138,0.87268096,0.101082824,0.8989172,0.12731901
139,0.8721497,0.10041878,0.8995812,0.12785031
140,0.8716292,0.09983317,0.9001668,0.1283708
141,0.87098086,0.09926779,0.9007322,0.12901914
142,0.870408,0.09869988,0.90130013,0.12959202
143,0.86990595,0.098174974,0.901825,0.13009405
144,0.86928225,0.09766904,0.90233094,0.13071774
145,0.86873096,0.09709607,0.9029039,0.13126905
146,0.86818117,0.096582554,0.90341747,0.13181882
147,0.86764216,0.09609306,0.90390694,0.1323578
148,0.8670478,0.0956061,0.9043939,0.13295224
149,0.8665411,0.09517859,0.9048214,0.1334589
150,0.86594975,0.09464483,0.90535516,0.13405025
151,0.8653584,0.094104744,0.90589523,0.13464159
152,0.8647024,0.0936532,0.9063468,0.13529763
153,0.8641788,0.093068846,0.90693116,0.13582121
154,0.8635813,0.09255533,0.90744466,0.13641873
155,0.8630207,0.09208102,0.907919,0.13697928
156,0.8624032,0.091521956,0.908478,0.1375968
157,0.8618965,0.09104385,0.90895617,0.13810346
158,0.8613468,0.09050377,0.90949625,0.13865323
159,0.8607462,0.09000037,0.9099996,0.13925382
160,0.8602288,0.08951467,0.9104853,0.13977125
161,0.8597036,0.08902392,0.9109761,0.14029638
162,0.8591184,0.08850154,0.9114985,0.14088157
163,0.8585994,0.088038616,0.9119614,0.14140055
164,0.85800505,0.087511174,0.9124888,0.14199498
165,0.85732895,0.087057106,0.9129429,0.14267102
166,0.8567376,0.08656888,0.9134311,0.14326237
167,0.8561324,0.08614516,0.91385484,0.14386758
168,0.8555226,0.0856797,0.9143203,0.14447741
169,0.8548173,0.08517504,0.91482496,0.14518273
170,0.85425365,0.08464886,0.91535115,0.14574635
171,0.8536854,0.0841834,0.9158166,0.1463146
172,0.85304475,0.083738185,0.9162618,0.14695524
173,0.8523872,0.08334862,0.91665137,0.14761281
174,0.85172194,0.082905926,0.91709405,0.14827807
175,0.8511028,0.08236584,0.9176341,0.14889714
176,0.8505469,0.08185485,0.9181451,0.14945307
177,0.849897,0.0813603,0.9186397,0.15010294
178,0.84930265,0.080865756,0.91913426,0.15069738
179,0.84865123,0.08042686,0.9195731,0.15134878
180,0.84794897,0.08001199,0.91998804,0.15205102
181,0.847256,0.079641394,0.9203586,0.15274401
182,0.8465291,0.07921894,0.9207811,0.15347087
183,0.84578377,0.07880661,0.9211934,0.15421622
